B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
P303N	0.0577855767141844	0.073039199687286	0.100881317227534	0.0929610554998826	0	0.0615319582144961	0	0.0706734248034562	0.0365970368676325	0	0.0343556316647568	0	0.0152734559937199	0	0.0123788174596883	0.189734148619538	0.0454622881744803	0.014927710993496	0.180238100185693	0.0141602778941566	0	0	9999	0.32921850215879	0.946300711952417
P270T	0	0.00110044900039223	0.125526258240067	0.169348883346006	0	0.008602645475786	0.0297483064022997	0.0901673832508345	0.0337977897252871	0	0.00267661288012291	0.0136730512786762	0.0211947717213951	0.0721983286273711	0.0671886858828562	0.24570314073864	0	0.0923390053708383	0.0267346880594268	0	0	0	9999	0.2264791335414	0.991757882830368
P270N	0	0.0032875978264861	0.131309179545443	0.185959898752878	0	0	0.0392913457762121	0.11534995855083	0.0491153191032716	0	0.0318936111124426	0	0.0132645628155274	0	0.00866142100583274	0.0967544556544451	0.153046721413292	0.0385247776072721	0.133541150836068	0	0	0	9999	0.178216071678592	1.00658235421795
P268T	0.000514022216552795	0.0117693030110813	0.0621149025896442	0.0374936985083659	0	0.103312570399787	0.0137270269793373	0.0535677969511984	0	0	0	0.0252039097805494	0.0502184277594449	0	0	0.369418300966081	0	0.0372608666235293	0	0.169968396271088	0	0.0654307779433403	9999	0.203049616621751	1.00701706689563
P268N	0.0780612983838019	0	0.0443807164650163	0.0505240027009005	0	0.275160664910754	0.0163113968844817	0.0440387465696593	0	0	0	0.0170351580268922	0.00765811411655602	0	0.0183027679636943	0.10588359158094	0.166392999858167	0.0439952940003356	0.132255248538801	0	0	0	9999	0.0855421185523161	1.04112305722401
P229T	0	0.0819259587057074	0.0601550115100321	0.0684724262260278	0	0.220430933295726	0.00573407869392351	0	0	0	0.0283187601344284	0	0.0658391846504369	0.0193111450002464	0.0115453502489741	0.199431625514282	0.0475832267003974	0.064243888134825	0.040446404206965	0.0677627770135454	0.00962980376428847	0.00916942620019348	9999	0.151779945984318	1.01371436063132
P229N	0	0.00179114637739913	0.0663602612640686	0.0826591247446561	0	0.110575485244176	0	0.0663914480504015	0.0672860532226193	0	0.0286124200450203	0.0132232269231883	0.0126096500409521	0	0.00995033905440913	0.0627030387444661	0.11180219949195	0.0355711563820598	0.321611877957736	0.00885257245689749	0	0	9999	0.024023195410203	1.07947696889395
P223T	0	0.00196472100660285	0.0465020688437836	0.121839506771623	0	0.137654768169359	0.00716539502343333	0.0746397771053848	0	0	0.0137784574611389	0.0496640506876989	0.00496930432696632	0.00301454517862683	0.152540082822431	0.267366884805392	0.024653750410955	0.0368694330620802	0.0497947778961449	0	0	0.00758247642837856	9999	0.204602766436893	1.00927610477166
P223N	0	0.0502033345922783	0.0459605965953595	0.217884764643728	0	0.245166459262697	0	0.0844903539327339	0	0	0.0352529678747918	0	0.0680608894066825	0	0	0.0534324402051296	0.0723942588162192	0.033765770672711	0.0386812032345919	0.053862412568848	0.000844548194228655	0	9999	0.0625747684416425	1.0750695322379
P207T	0	0.049823903031348	0.0279900165237623	0.0333774433626965	0.0076893696420732	0.168376311015614	0	0	0	0	0.0659236383913602	0	0.0178068779730015	0.354221154766309	0.00340111961754161	0.0800446533359839	0	0	0	0.177647185129665	0	0.0136983272106456	9999	0.120075529587277	1.06563129067146
