name	type	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
Aliivibrio	genus	Bacteria	0.0012216278551752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes	genus	Bacteria	0.0	0.0	0.0124408626756761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalilimnicola	genus	Bacteria	0.0010471095901501	0.0	0.0	0.0003709409290177	0.0	0.0	0.0	0.0	0.0033563414327297	0.0	0.0	0.0	0.0
Alkanindiges	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003037464149901	0.0133651069809247	0.0	0.0075315596451365
Alloactinosynnema	genus	Bacteria	0.0	0.0	0.0	0.0072090947589436	0.001241990114859	0.0	0.0008823394451757	0.0	0.0024037597937194	0.0	0.0	0.0	0.0018992399357238
Allokutzneria	genus	Bacteria	0.0	0.0	0.0	0.000507986447264	0.0001064082286011	0.0	0.0	0.0	0.0008071508196462	0.0	0.0	0.0	0.0001344921365202
Alloprevotella	genus	Bacteria	0.0256541849586795	0.2447117291687159	0.2612581161891996	0.0059350548642845	1.3758583958134851	0.0397336067118527	0.0504175294821176	0.0751862256769035	0.0033563414327297	2.761054912260035	0.0089100713206164	0.0	0.0075315596451365
Alloscardovia	genus	Bacteria	0.0	0.0	0.0	0.0029675274321422	0.0	0.0283811476513234	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Altererythrobacter	genus	Bacteria	0.022477952535224	0.0280398856339153	0.041987911530407	0.0127333904361013	0.0	0.0214706959437847	0.0136547475680735	0.0441434279542426	0.003580097528245	0.0	0.0356402852824658	0.0197774476943774	0.0
Alteromonas	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0048016694744873	0.0	0.0	0.0	0.0073377057934488	0.0	0.0
Alysiella	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aminobacter	genus	Bacteria	0.0002036046425292	0.0	0.0007775539172297	0.0	0.0	0.0	0.0007581583380769	0.0004882222446552	0.0	0.0	0.0	0.0	0.0
Amorphus	genus	Bacteria	6.0080058451240193e-05	0.0	0.0	0.0029675274321422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amycolatopsis	genus	Bacteria	0.0	0.0016099455866362	0.0	0.0018053941924635	0.0008389286428848	0.0056762295302646	0.0008823394451757	0.0	0.0026531383092632	0.0002024976099934	0.0	0.0	0.0013414728488819
Anabaena	genus	Bacteria	0.0	0.0	0.006220431337838	0.0	0.0	0.0	0.007202504211731	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobacillus	genus	Bacteria	0.0062497675601848	0.0122355864584357	0.0044694332549336	0.0007532954250822	0.0048232638944848	0.0013462852091012	0.0007373992407248	0.000813703741092	0.0010548501645722	0.0048783515134774	0.0	0.0	0.0
