name	type	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P368T_rna
Frateuria	genus	Bacteria	0.0	0.0	0.0005373459879505	0.0	0.0	0.0018429124215109	0.003387734705493	0.0003258397966042	0.0	0.0	0.0
Frigoribacterium	genus	Bacteria	0.0	0.001026927078106	0.0018807109578269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Frondihabitans	genus	Bacteria	0.0	0.0003423090260353	0.0002686729939752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fusarium	genus	Fungi	0.0	0.0042584872881778	0.0058033366698659	0.0	0.0	0.0	0.0056288515106653	0.0507658403109369	0.0	0.0	0.0
Fusibacter	genus	Bacteria	0.0	0.0130077429893433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fusicatenibacter	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019630150435401
Fusobacterium	genus	Bacteria	0.0383807221017298	1.359309142386383	13.028490823849156	3.78283100015468	2.489966278049281	19.59384486550437	1.1945673761523037	4.8784734347583285	7.53148468129193	6.17128732358734	5.7308822042553205
Gemella	genus	Bacteria	0.0095951805254324	4.972209757676507	3.386891762052348	0.6505707676440513	3.617423008749996	0.9583144591856912	2.1577264124217	1.65608076624093	0.965185221517735	1.1774923606844707	1.766713539186168
Geminocystis	genus	Bacteria	0.0	0.0032519357473358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemmata	genus	Bacteria	0.0095951805254324	0.0390232289680301	0.0	0.0	0.0	0.0	0.0031271397281473	0.0	0.0	0.0	0.0
Gemmatimonas	genus	Bacteria	0.0	0.0032519357473358	0.0161203796385166	0.0	0.0	0.0110574745290656	0.0	0.0	0.0	0.0	0.0
Gemmobacter	genus	Bacteria	0.0	0.0009291244992388	0.0045444117838104	0.0121298831474012	0.0023239685261793	0.0026479208693687	0.005579798338459	0.001238191227096	0.00759165865171	0.0	0.0013460674584275
Geoalkalibacter	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Geobacillus	genus	Bacteria	0.0	0.0	0.0012896303710813	0.0036557659109601	0.0424954244787077	0.0031592784368759	0.0031271397281473	0.0	0.0	0.0	0.0
Geobacter	genus	Bacteria	0.0	0.0032519357473358	0.0064481518554066	0.0	0.0	0.0	0.0	0.00309547806774	0.0	0.0	0.0
Geodermatophilus	genus	Bacteria	0.0	0.0005419892912226	0.0	0.0126940637589083	0.0	0.0	0.0	0.0025443891693166	0.0037999418169989	0.0	0.0
Georgenia	genus	Bacteria	0.0	0.0008487194944969	0.0	0.0	0.0	0.0007371649686043	0.0	0.0	0.0022799650901993	0.007670960004459	0.0
Glaciibacter	genus	Bacteria	0.0004920605397657	0.0113614911590306	0.0014982084218907	0.0024721892600982	0.0	0.0026480052518056	0.0043265297441812	0.0168833610541219	0.0090701845395322	0.0337887524005936	0.0012043967896877
Glutamicibacter	genus	Bacteria	0.0	0.0	0.0044215898437074	0.0	0.0	0.0	0.0	0.0080808269557845	0.0	0.0	0.0
Glycomyces	genus	Bacteria	0.0191903610508649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gordonia	genus	Bacteria	0.0	7.332560469050546	0.2072735384806701	0.3898135412631427	0.1233291123458148	0.1935058042586492	3.8123502415167367	0.6812459343080804	2.071910156184887	0.0306838400178363	0.073835759116688
Gracilibacillus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0115064400066886	0.0
Granulicatella	genus	Bacteria	0.0	0.8936113683498417	0.8139055611102218	0.6474019243378631	1.0723855125104078	0.1587844566600394	0.5974427977273618	0.443841999433369	0.8989231552080772	1.3756195200759538	0.455945706255186
Gryllotalpicola	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0002405492098574	0.0	0.0	0.0	0.0
Guillardia	genus	Eukaryota	0.0	0.5522870877558709	0.0	0.0079337898493177	0.0039839460448788	0.0165862117935985	0.0641063644270215	0.00464321710161	0.0455993018039874	0.0	0.1284372699916293
Gulbenkiania	genus	Bacteria	0.0	0.0	0.0	0.0044429223156179	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haematobacter	genus	Bacteria	0.0	0.002013103081684	0.0095187003579812	0.062059867265774	0.0073039010822778	0.002187192763991	0.0003678987915467	0.0	0.0050665890893319	0.0	0.0161528095011306
Haemophilus	genus	Bacteria	1.524087813347996	1.489061378705083	1.0724888573505122	0.7563017403692918	1.303276806688457	4.483064368680811	3.4096879709416825	1.294860586293292	1.977191154709208	6.896572025961337	1.2166727178330574
Haliangium	genus	Bacteria	0.0	0.0162596787366792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
