type	name	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P207T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P326T_rna	P368T_rna	P394T_rna
species	Mycobacterium_sp._E3305	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E3339	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E735	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E740	Bacteria	0.0	0.0002985290617991	0.0	0.0001925588843908	0.0	0.0	8.96397879299928e-05	9.824100226879246e-05	0.0004023169636329	0.0001480653275101	0.0	4.703465325112918e-05	8.720009054857399e-05	2.5739429459806403e-05
species	Mycobacterium_sp._E787	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0003371082432928	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._E796	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0003371082432928	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._E802	Bacteria	0.0	0.0007561663886562	0.0002209605057113	0.0003748078005023	0.0	0.0	0.0002325995206123	0.0012151805843627	0.0014577092011681	0.001293605231484	0.0	4.703465325112918e-05	0.000939056668655	0.0039297839892722
species	Mycobacterium_sp._EPa45	Bacteria	0.0	0.0063670309002493	0.0021348507555888	0.00283800659746	0.0018540878408268	0.0	0.0041551555609274	0.0085981808975009	0.0232417208274656	0.0119287812151728	0.0002346074079635	0.0014924457281608	0.0070872786460208	0.0032393627480094
species	Mycobacterium_sp._GA-0227b	Bacteria	0.0	0.0010497888268559	4.082965866405355e-05	0.0004311388863835	0.0002602228548528	0.0	0.0008516166276127	0.0005701910197786	0.0025791111860691	0.0016009497366187	0.0	4.703465325112918e-05	0.0011972814529246	0.0005218729838875
species	Mycobacterium_sp._GA-1285	Bacteria	0.0	0.0009309999208872	0.0002209605057113	0.0004311388863835	0.0002602228548528	0.0	0.0010842161482251	0.0007504267320431	0.0030144261818934	0.0018311876396633	0.0	4.703465325112918e-05	0.0009913767229841	0.0005218729838875
species	Mycobacterium_sp._GA-1999	Bacteria	0.0	0.0010497888268559	4.082965866405355e-05	0.0004311388863835	0.0002602228548528	0.0	0.0008516166276127	0.0005701910197786	0.0023981555048298	0.00136046019611	0.0	4.703465325112918e-05	0.0011972814529246	0.0005218729838875
species	Mycobacterium_sp._GA-2613	Bacteria	0.0	0.0005707917812041	0.0	0.0	0.0	0.0	0.0002575208978208	5.1843952551777125e-05	0.0003047070516182	0.0001770804346181	0.0002346074079635	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._GA-2617	Bacteria	0.0	0.0005707917812041	0.0	0.0	0.0	0.0	0.0002575208978208	5.1843952551777125e-05	0.0003047070516182	0.0001770804346181	0.0002346074079635	0.0	3.488003621942934e-05	2.5739429459806403e-05
