type	name	kingdom	P1492N_rna	P1492T_rna
species	Acinetobacter_sp._CIP_110321	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._CIP_51.11	Bacteria	0.0285555023139715	0.0018874512801638
species	Acinetobacter_sp._CIP_53.82	Bacteria	0.187204161311228	0.0
species	Acinetobacter_sp._CIP_56.2	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._CIP_64.2	Bacteria	0.0720798028551107	0.0293100595533133
species	Acinetobacter_sp._CIP_64.7	Bacteria	0.0285555023139715	0.0018874512801638
species	Acinetobacter_sp._CIP_70.18	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._CIP_A162	Bacteria	0.0285555023139715	0.0018874512801638
species	Acinetobacter_sp._COS3	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._FDAARGOS_131	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._GG2	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._HA	Bacteria	0.1256271785308746	0.0485063508467405
species	Acinetobacter_sp._Leaf130	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._MDS7A	Bacteria	0.1991169150038676	0.0
species	Acinetobacter_sp._MN12	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._NBRC_100985	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._NCu2D-2	Bacteria	0.0285555023139715	0.0018874512801638
species	Acinetobacter_sp._NIPH_1847	Bacteria	0.0720798028551107	0.0288232169612076
species	Acinetobacter_sp._NIPH_1859	Bacteria	0.0720798028551107	0.0296396145387388
species	Acinetobacter_sp._NIPH_1867	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._NIPH_2036	Bacteria	0.082819192479831	0.0288232169612076
species	Acinetobacter_sp._NIPH_2100	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._NIPH_2168	Bacteria	0.0720798028551107	0.0296396145387388
species	Acinetobacter_sp._NIPH_2171	Bacteria	0.1849064799290882	0.0
species	Acinetobacter_sp._NIPH_236	Bacteria	0.0720798028551107	0.0292325172038015
species	Acinetobacter_sp._NIPH_284	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_sp._NIPH_298	Bacteria	0.1098924888365264	0.0
species	Acinetobacter_sp._NIPH_3623	Bacteria	0.0720798028551107	0.0285184814020464
species	Acinetobacter_sp._NIPH_542	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._NIPH_713	Bacteria	0.0285555023139715	0.0018874512801638
species	Acinetobacter_sp._NIPH_758	Bacteria	0.0720798028551107	0.0285184814020464
species	Acinetobacter_sp._NIPH_809	Bacteria	0.0716566854104016	0.0285184814020464
species	Acinetobacter_sp._NIPH_817	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._NIPH_899	Bacteria	0.1849064799290882	0.0
species	Acinetobacter_sp._NRRL_B-65365	Bacteria	0.0712547238379279	0.0275298164457701
species	Acinetobacter_sp._Root1280	Bacteria	0.0712547238379279	0.0277020838245152
species	Acinetobacter_sp._SFA	Bacteria	0.0278313803635594	0.0018874512801638
species	Acinetobacter_sp._SFB	Bacteria	0.0030168355372631	0.0
species	Acinetobacter_sp._SFC	Bacteria	0.0030168355372631	0.0
species	Acinetobacter_sp._SFD	Bacteria	0.0280826063463554	0.0018874512801638
species	Acinetobacter_sp._TG2027	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._TG27347	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._TGL-Y2	Bacteria	0.0004019615724736	0.0
species	Acinetobacter_sp._TTH0-4	Bacteria	0.0083675921753545	0.0
species	Acinetobacter_sp._VT_511	Bacteria	0.1256271785308746	0.0481767958613151
species	Acinetobacter_sp._WC-136	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._WC-141	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._WC-487	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._WC-743	Bacteria	0.0090267437585995	0.0049723525612723
species	Acinetobacter_sp._YZS-X1-1	Bacteria	0.1844040279634961	0.0
species	Acinetobacter_sp._ZOR0008	Bacteria	5.359487632982266e-05	0.0
species	Acinetobacter_sp._neg1	Bacteria	0.0712547238379279	0.0277020838245152
species	Acinetobacter_tandoii	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_tjernbergiae	Bacteria	0.0129151739007836	0.0004045399286024
species	Acinetobacter_towneri	Bacteria	0.1985426841860481	0.0
species	Acinetobacter_venetianus	Bacteria	5.359487632982266e-05	0.0
species	Actinoalloteichus_cyanogriseus	Bacteria	0.0	0.0005518625510249
species	Actinoalloteichus_hymeniacidonis	Bacteria	0.0	0.0013457904704589
species	Actinoalloteichus_sp._ADI127-7	Bacteria	0.0	0.0013457904704589
species	Actinoalloteichus_sp._GBA129-24	Bacteria	0.0	0.0013457904704589
species	Actinoalloteichus_spitiensis	Bacteria	0.0	0.0005518625510249
species	Actinobacillus_equuli	Bacteria	0.0013398719082455	0.0
species	Actinobacillus_pleuropneumoniae	Bacteria	0.0013398719082455	0.0
species	Actinobacillus_suis	Bacteria	0.0013398719082455	0.0
species	Actinobacteria_bacterium_UC5.1-1B11	Bacteria	0.214042294813851	0.0125825375002132
species	Actinokineospora_bangkokensis	Bacteria	0.0	0.0013457904704589
species	Actinokineospora_spheciospongiae	Bacteria	0.0	0.0013457904704589
species	Actinomyces_cardiffensis	Bacteria	0.0027406470850477	0.010348525868094
species	Actinomyces_georgiae	Bacteria	0.0	0.0078598864023965
species	Actinomyces_graevenitzii	Bacteria	0.0	0.1557147306135169
species	Actinomyces_hongkongensis	Bacteria	0.0	0.0078598864023965
species	Actinomyces_johnsonii	Bacteria	0.0093791033577189	0.0195097799686194
species	Actinomyces_massiliensis	Bacteria	0.0020098078623683	0.0076127201633274
species	Actinomyces_meyeri	Bacteria	0.0013492416418696	0.0111172954523936
species	Actinomyces_naeslundii	Bacteria	0.0053594876329822	0.0294623405284675
species	Actinomyces_neuii	Bacteria	0.0160784628989468	0.0
species	Actinomyces_odontolyticus	Bacteria	0.0035026072086929	0.0339470922363065
species	Actinomyces_oris	Bacteria	0.0053594876329822	0.0294623405284675
species	Actinomyces_radicidentis	Bacteria	0.0013398719082455	0.0238707661109821
species	Actinomyces_sp._HMSC062G12	Bacteria	0.0013492416418696	0.0111172954523936
species	Actinomyces_sp._HMSC06A08	Bacteria	0.0160784628989468	0.0
species	Actinomyces_sp._HMSC08A01	Bacteria	0.0160784628989468	0.0
species	Actinomyces_sp._HPA0247	Bacteria	0.0035026072086929	0.0339470922363065
species	Actinomyces_sp._ICM39	Bacteria	0.0035026072086929	0.0339470922363065
species	Actinomyces_sp._ICM54	Bacteria	0.0035026072086929	0.0339470922363065
species	Actinomyces_sp._ICM58	Bacteria	0.0035026072086929	0.0339470922363065
species	Actinomyces_sp._Marseille-P2818	Bacteria	0.0006184024191902	0.0152567057996312
species	Actinomyces_sp._Marseille-P2825	Bacteria	0.0023541455730538	0.0280825114729403
species	Actinomyces_sp._Marseille-P2985	Bacteria	0.0006184024191902	0.0144877441669719
species	Actinomyces_sp._S6-Spd3	Bacteria	0.0006184024191902	0.0144877441669719
species	Actinomyces_sp._oral_taxon_170	Bacteria	0.0093791033577189	0.0200041124467576
species	Actinomyces_sp._oral_taxon_171	Bacteria	0.0053594876329822	0.0294623405284675
