type	name	kingdom	P1492N_rna	P1492T_rna
genus	Desulfovibrio	Bacteria	0.3551491168297065	0.0177170521743484
genus	Desulfuromonas	Bacteria	0.0326573900533063	0.0
genus	Dialister	Bacteria	0.2245195566164811	0.290559655659314
genus	Diaphorobacter	Bacteria	0.4964839799419615	0.0086172642422692
genus	Dietzia	Bacteria	0.0005566600577268	0.000545140066903
genus	Dinoroseobacter	Bacteria	0.0	0.0001771705217434
genus	Dorea	Bacteria	0.0122465212699898	0.0389775147835665
genus	Draconibacterium	Bacteria	0.0367395638099696	0.0
genus	Drancourtella	Bacteria	0.0	0.0035434104348696
genus	Duganella	Bacteria	0.0103415068502136	0.0
genus	Duodenibacillus	Bacteria	0.0081643475133265	0.0212604626092181
genus	Durinskia	Eukaryota	0.0259185635343701	0.0
genus	Dyadobacter	Bacteria	0.0	0.2515821408757475
genus	Dysgonomonas	Bacteria	0.5470112833928813	0.0
genus	Eikenella	Bacteria	0.0090536782245996	0.1404683586845917
genus	Elizabethkingia	Bacteria	0.0	0.0020669894203406
genus	Emergencia	Bacteria	0.0	0.010630231304609
genus	Emticicia	Bacteria	0.0	0.010630231304609
genus	Endozoicomonas	Bacteria	0.0326573900533063	0.0
genus	Ensifer	Bacteria	0.0239605850934584	0.0
genus	Enterobacter	Bacteria	0.1428740452149914	0.1590081688300785
genus	Enterococcus	Bacteria	0.1488089887158747	0.2465574678155901
genus	Erwinia	Bacteria	0.0580595386759604	0.0010191904792196
genus	Erysipelatoclostridium	Bacteria	0.0	0.0005905684058116
genus	Escherichia	Bacteria	0.0805180004460715	0.0094490944929858
genus	Eubacterium	Bacteria	0.0	0.0070868208697393
genus	Eunotia	Eukaryota	0.1470473503020279	0.0039652450104494
genus	Exiguobacterium	Bacteria	0.0	0.001476421014529
genus	Faecalibacterium	Bacteria	0.0408217375666329	0.1724459744969912
genus	Falsirhodobacter	Bacteria	0.0	0.001392054099413
genus	Fenollaria	Bacteria	0.0571504325932861	0.0
genus	Fermentimonas	Bacteria	0.0046944998201627	0.0
genus	Filifactor	Bacteria	0.0122465212699898	0.0921286713066117
genus	Finegoldia	Bacteria	0.8327634463593118	0.0141736417394787
genus	Fistulifera	Eukaryota	0.1028983171416702	0.0039652450104494
genus	Flaviflexus	Bacteria	5.931398468431765	0.0921286713066117
genus	Flavisolibacter	Bacteria	0.0027214491711088	0.0212604626092181
genus	Flavobacterium	Bacteria	0.6665294581240047	1.101567633120318
