type	name	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P223N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
genus	Neomicrococcus	Bacteria	0.0	0.0092303546967147	0.0	0.0	0.0034582674295389	0.0	0.0	0.0	0.0	0.0004794773475328	0.0015187320749505	0.0	0.0	0.0081591896155646
genus	Neorhizobium	Bacteria	0.0053454922890327	0.000858637646206	0.0	0.0023391854255656	0.0008315732047455	0.0004138917365817	0.0020996783072587	0.0070113055328719	0.0007160592921609	0.0067008998179536	0.0060809540641269	0.0	0.0	0.000771088249383
genus	Nesterenkonia	Bacteria	0.002392953386902	0.0010732970577575	0.0	0.0047892595502073	0.0019153481148215	0.0005676229530264	0.0	0.0097519620517565	0.0	0.0	0.0	0.0	0.0	0.0
genus	Niabella	Bacteria	0.0486207886359737	0.0268324264439381	0.0321388952454967	0.0	0.0	0.0179747268458381	0.0448034219203283	0.0498173207978067	0.0216445195130479	0.0	0.0011390490562128	0.0	0.0	0.0
genus	Niastella	Bacteria	0.0	0.0	0.0	0.0084079943910697	0.0	0.0056762295302646	0.0085339851276815	0.0	0.013670222850346	0.0022375609551531	0.0003796830187376	0.0	0.0	0.0
genus	Nioella	Bacteria	0.7309083357534196	0.3858109212648337	0.216179243603742	1.5206558202231126	0.3091942486064387	0.1331385310427914	0.1064984436491378	0.4733896312193474	0.0625216845292004	0.8536622077066385	0.0883125580855253	0.0743691362537252	0.7415878258652775	1.115604450449351
genus	Nitratireductor	Bacteria	0.3978510867847128	0.1868320962971641	0.0985771572033378	0.8468773207872333	0.150240800480146	0.0791365197669913	0.0629517810521205	0.2594615009556175	0.0236662793141375	0.5476412866555449	0.0376822714213735	0.02988178015493	0.2187038802891149	0.4842490346937811
genus	Nitriliruptor	Bacteria	0.0	0.0064397823465451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Nitrobacter	Bacteria	0.0139660027570568	0.0072417891763531	0.0169913871856151	0.0383275881520598	0.0039255580079885	0.0015181279560631	0.0117278199694157	0.0347076036813739	0.0022922577034576	0.0880467555236566	0.0024561277255232	0.0017517714836041	0.0283726792893032	0.0533566894556229
genus	Nitrosomonas	Bacteria	0.0	0.0	0.0012440862675676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178201426412329	0.0	0.0
